status,reason,source,title,begin,end,lat,lng,link
"DROPPED","OUT_OF_WINDOW","mobilize","Jefferson County Chapter Meetings","2025-10-13","2025-10-13","38.2414932","-85.7402849","https://www.mobilize.us/kftc/event/554787/"
"DROPPED","OUT_OF_WINDOW","mobilize","Antelope Valley Democrats for Change: General Meeting","2025-10-02","2025-10-02","34.3579404","-118.0654445","https://www.mobilize.us/cadems/event/556387/"
"DROPPED","OUT_OF_WINDOW","mobilize","Senior Democrats Monthly Meeting","2025-11-05","2025-11-05","36.1282187","-80.2501619","https://www.mobilize.us/forsythcountydems/event/556420/"
"DROPPED","OUT_OF_WINDOW","mobilize","Pasco County Democratic Executive Committee","2025-10-13","2025-10-13","","","https://www.mobilize.us/pascocountydec/event/557062/"
"DROPPED","OUT_OF_WINDOW","mobilize","Warwick Democrats Monthly Meeting","2025-10-29","2025-10-29","40.1471433","-76.2943337","https://www.mobilize.us/lancastercountydems/event/559155/"
"DROPPED","OUT_OF_WINDOW","mobilize","Warwick Democrats Greet Voters at the Polls!","2025-11-04","2025-11-04","40.1573169","-76.3069014","https://www.mobilize.us/lancastercountydems/event/559186/"
"DROPPED","OUT_OF_WINDOW","mobilize","Food Scraps Collection: LA River Farmers' Market","2025-10-02","2025-10-02","34.0660887","-118.2345424","https://www.mobilize.us/lacompost/event/559650/"
"DROPPED","OUT_OF_WINDOW","mobilize","Easton Area Democratic Committee meeting [hybrid]","2025-10-15","2025-10-15","40.6916081","-75.2099866","https://www.mobilize.us/norcodemspa/event/560301/"
"DROPPED","OUT_OF_WINDOW","mobilize","Democratic Environmental Caucus of Florida-Pasco County Chapter","2025-10-23","2025-10-23","","","https://www.mobilize.us/decf/event/560605/"
"DROPPED","OUT_OF_WINDOW","mobilize","Bethlehem City Democratic Committee meeting [IN-PERSON ONLY]","2025-10-13","2025-10-13","40.6124938","-75.3713242","https://www.mobilize.us/norcodemspa/event/560730/"
"DROPPED","OUT_OF_WINDOW","mobilize","Saturday Morning Breakfast","2025-10-18","2025-10-18","35.418235","-80.5899401","https://www.mobilize.us/cabarruscountyncdemocrats/event/561549/"
"DROPPED","OUT_OF_WINDOW","mobilize","Columbia IN-PERSON letter/postcard writing to Voters with SwingLeftHoCoMD","2025-10-14","2025-10-14","39.1905484","-76.8467803","https://www.mobilize.us/swingleft/event/564439/"
"KEPT","VIRTUAL","mobilize","Democracy Matters! | JUNETEENTH Voter Education-Registration-Empowerment | Communities United","2027-07-01","2027-07-01","","","https://www.mobilize.us/2020victorious/event/564618/"
"DROPPED","OUT_OF_WINDOW","mobilize","Voter ID Assistance Orientation - Help voters get the ID the need to cast a ballot that counts!","2025-10-28","2025-10-28","","","https://www.mobilize.us/voteriders/event/564817/"
"DROPPED","OUT_OF_WINDOW","mobilize","Compost Hub Support: Fremont High School","2025-10-31","2025-10-31","33.9675574","-118.2669713","https://www.mobilize.us/lacompost/event/564918/"
"DROPPED","OUT_OF_WINDOW","mobilize","New Castle County Democratic Committee Meeting","2025-10-15","2025-10-15","39.6620397","-75.5668166","https://www.mobilize.us/deldems/event/568675/"
